Order ID,Customer ID,Amount (INR),Payment Method,Bank,Failure Reason,Error Source,Error Step,Attempts,Status
ord_00001,cust_0025,"10,056.06",card,Kotak,card_expired,customer,authorization,2,attempted
ord_00002,cust_0108,"3,241.64",card,Axis,incorrect_cvv,customer,authorization,1,attempted
ord_00003,cust_0058,68.11,upi,Axis,payment_timeout,gateway,authorization,3,attempted
ord_00004,cust_0012,380.91,card,Axis,incorrect_cvv,customer,authorization,3,attempted
ord_00005,cust_0144,"1,207.83",netbanking,ICICI,issuer_down,bank,authorization,3,attempted
ord_00006,cust_0141,72.62,netbanking,ICICI,issuer_down,bank,authorization,3,attempted
ord_00007,cust_0110,"47,698.82",card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00008,cust_0063,248.73,card,SBI,payment_blocked_by_risk,business,authorization,1,attempted
ord_00009,cust_0074,"3,172.65",card,Axis,incorrect_cvv,customer,authorization,3,attempted
ord_00010,cust_0126,78.09,card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00011,cust_0088,834.67,card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00012,cust_0070,251.95,card,Kotak,card_expired,customer,authorization,2,attempted
ord_00013,cust_0115,"60,358.82",card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00014,cust_0044,"2,343.23",emandate,HDFC,mandate_revoked,customer,authorization,3,attempted
ord_00015,cust_0064,"30,144.28",card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00016,cust_0141,"3,180.44",emandate,HDFC,mandate_revoked,customer,authorization,2,attempted
ord_00017,cust_0092,"5,238.31",netbanking,ICICI,issuer_down,bank,authorization,3,attempted
ord_00018,cust_0060,384.57,emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00019,cust_0108,338.35,card,SBI,payment_blocked_by_risk,business,authorization,3,attempted
ord_00020,cust_0159,"16,541.29",card,Kotak,card_expired,customer,authorization,3,attempted
ord_00021,cust_0144,"85,958.44",card,HDFC,card_declined_by_issuer,bank,authorization,2,attempted
ord_00022,cust_0049,180.63,emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00023,cust_0001,195.83,upi,Axis,payment_timeout,gateway,authorization,3,attempted
ord_00024,cust_0054,230.87,netbanking,ICICI,issuer_down,bank,authorization,3,attempted
ord_00025,cust_0122,"1,812.64",emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00026,cust_0080,"5,961.38",card,SBI,insufficient_funds,customer,authorization,1,attempted
ord_00027,cust_0042,"28,239.58",netbanking,ICICI,issuer_down,bank,authorization,3,attempted
ord_00028,cust_0140,"36,387.21",card,HDFC,card_declined_by_issuer,bank,authorization,1,attempted
ord_00029,cust_0133,"4,000.34",card,ICICI,refund_issued,business,payment,2,attempted
ord_00030,cust_0085,"51,491.64",netbanking,ICICI,issuer_down,bank,authorization,3,attempted
ord_00031,cust_0062,258.83,upi,Axis,payment_timeout,gateway,authorization,2,attempted
ord_00032,cust_0072,107.97,upi,Axis,payment_timeout,gateway,authorization,2,attempted
ord_00033,cust_0090,"34,919.60",upi,,invalid_vpa,customer,payment,2,attempted
